Adequate Immunization Rate,Compliant with Idaho Regulations,Conditional Admit Records Rate,DTaP Adequate Rate,Exemption Record Rate,Grade,Hep. A Adequate Rate,Hep. B Adequate Rate,Incomplete or No Records Rate,MMR Adequate Rate,Meningitis Adequate Rate,Number of Records,Polio Adequate Rate,School District,School Name,School City,SchoolYear,State,Tdap Adequate Rate,Total Adequate,Total Conditional Admit Records,Total Enrollment,Total Exempt,Total Incomplete or No Records,Varicella Adequate Rate,X,Y,Address,City CAPS,City,testing,Zip
62.4%,66.6%,,97.1%,4.1%,Seventh Grade,94.9%,93.0%,33.4%,93.9%,67.2%,1,95.2%,134 Middleton,Middleton Middle,Middleton Middle MIDDLETON,2018-2019,ID,65.6%,,,,,,93.3%,-116.628193,43.706383,500 W Main St,MIDDLETON,Middleton,MIDDLETON MIDDLE SCHOOL,83644
71.4%,97.1%,,77.1%,25.7%,Seventh Grade,82.9%,82.9%,2.9%,80.0%,74.3%,1,80.0%,135 Notus,Notus Jr/Sr High,Notus Jr/Sr High CALDWELL,2018-2019,ID,74.3%,,,,,,77.1%,-116.797629731,43.736706378,25260 Notus Rd.,CALDWELL,Caldwell,NOTUS JR SR HIGH SCHOOL,83607
71.6%,86.5%,,93.2%,14.9%,Seventh Grade,87.8%,94.6%,13.5%,91.9%,77.0%,1,90.5%,136 Melba,Melba Jr/Sr High,Melba Jr/Sr High MELBA,2018-2019,ID,81.1%,,,,,,91.9%,-116.531987,43.37935,6870 Stokes Ln,MELBA,Melba,MELBA JR SR HIGH SCHOOL,83641
94.4%,100.0%,,96.6%,4.5%,Seventh Grade,95.5%,96.6%,0.0%,96.6%,96.6%,1,96.6%,137 Parma,Parma Middle,Parma Middle PARMA,2018-2019,ID,96.6%,,,,,,94.4%,-116.935774,43.788761,905 E McConnell,PARMA,Parma,PARMA MIDDLE SCHOOL,83660
93.4%,100.0%,,97.5%,6.6%,Seventh Grade,97.2%,97.8%,0.0%,97.8%,95.6%,1,97.8%,139 Vallivue,Vallivue Middle,Vallivue Middle CALDWELL,2018-2019,ID,95.6%,,,,,,93.4%,-116.692837,43.610203,16412 South 10th Avenue,CALDWELL,Caldwell,VALLIVUE MIDDLE SCHOOL,83607
90.9%,100.0%,,90.9%,9.1%,Seventh Grade,95.5%,95.5%,0.0%,95.5%,100.0%,1,95.5%,139 Vallivue,Rivervue Middle,Rivervue Middle CALDWELL,2018-2019,ID,100.0%,,,,,,95.5%,-116.772964,43.689367,21985 Dixie River Road,CALDWELL,Caldwell,RIVERVUE MIDDLE SCHOOL,83607
87.7%,100.0%,,92.5%,11.9%,Seventh Grade,92.7%,92.3%,0.0%,93.5%,93.5%,1,92.7%,139 Vallivue,Sage Valley Middle,Sage Valley Middle NAMPA,2018-2019,ID,93.7%,,,,,,92.7%,-116.603223013,43.634194059,18070 Santa Ana Ave,NAMPA,Nampa,SAGE VALLEY MIDDLE SCHOOL,83686
92.3%,100.0%,,92.3%,7.7%,Seventh Grade,92.3%,92.3%,0.0%,92.3%,92.3%,1,92.3%,148 Grace,Grace Jr/Sr High,Grace Jr/Sr High GRACE,2018-2019,ID,92.3%,,,,,,92.3%,-111.730509,42.569985,704 South Main Street PO Box 348,GRACE,Grace,GRACE JR SR HIGH SCHOOL,83241
100.0%,100.0%,,100.0%,0.0%,Seventh Grade,100.0%,100.0%,0.0%,100.0%,100.0%,1,100.0%,149 North Gem,North Gem K/12,North Gem K/12 BANCROFT,2018-2019,ID,100.0%,,,,,,100.0%,-111.886552,42.718472,360 S. Main,BANCROFT,Bancroft,NORTH GEM K-12 SCHOOL,83217
96.8%,100.0%,,98.4%,3.2%,Seventh Grade,100.0%,100.0%,0.0%,98.4%,98.4%,1,98.4%,150 Soda Springs,Tigert Middle,Tigert Middle SODA SPRINGS,2018-2019,ID,98.4%,,,,,,95.2%,-111.596138,42.663196,250 EAST 2ND SOUTH,SODA SPRINGS,Soda Springs,TIGERT MIDDLE SCHOOL,83276
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,151 Cassia,Cassia Alternative Jr/Sr High,Cassia Alternative Jr/Sr High BURLEY,2018-2019,ID,N/A,,,,,,N/A,-113.804818,42.5317,1010 W 17th St,BURLEY,Burley,CASSIA ALTERNATIVE JR SR HIGH,83318
9.8%,14.6%,,87.8%,4.9%,Seventh Grade,85.4%,90.2%,85.4%,85.4%,9.8%,1,90.2%,151 Cassia,Butte County Middle,Butte County Middle BURLEY,2018-2019,ID,12.2%,,,,,,90.2%,-113.801142,42.533066,700 W. 16th Street,BURLEY,Burley,BUTTE COUNTY MIDDLE SCHOOL,83318
92.2%,96.1%,,97.4%,3.9%,Seventh Grade,97.4%,97.4%,3.9%,96.1%,93.5%,1,96.1%,151 Cassia,Declo Jr High,Declo Jr High DECLO,2018-2019,ID,94.8%,,,,,,94.8%,-113.629225,42.518104,205 East Main Street,DECLO,Declo,DECLO JUNIOR HIGH SCHOOL,83323
66.7%,79.2%,,91.7%,8.3%,Seventh Grade,91.7%,95.8%,20.8%,95.8%,70.8%,1,91.7%,151 Cassia,Raft River Jr/Sr High,Raft River Jr/Sr High MALTA,2018-2019,ID,75.0%,,,,,,91.7%,-113.369394,42.306648,55 N 1st W,MALTA,Malta,RAFT RIVER JR SR HIGH SCHOOL,83342
91.2%,100.0%,,94.1%,8.8%,Seventh Grade,94.1%,94.1%,0.0%,94.1%,91.2%,1,94.1%,151 Cassia,Oakley Jr/Sr High,Oakley Jr/Sr High OAKLEY,2018-2019,ID,91.2%,,,,,,91.2%,-113.902536,42.243246,455 W Main,OAKLEY,Oakley,OAKLEY JR_SR HIGH SCHOOL,83346
100.0%,100.0%,,100.0%,0.0%,Seventh Grade,100.0%,100.0%,0.0%,100.0%,100.0%,1,100.0%,161 Clark,Clark County Jr/Sr,Clark County Jr/Sr DUBOIS,2018-2019,ID,100.0%,,,,,,100.0%,-112.235619,44.173299,43 W 2nd South Street,DUBOIS,Dubois,CLARK COUNTY JR-SR HIGH SCHOOL,83423
85.5%,100.0%,,98.2%,14.5%,Seventh Grade,98.2%,98.2%,0.0%,98.2%,85.5%,1,98.2%,171 Orofino,Orofino High,Orofino High OROFINO,2018-2019,ID,87.3%,,,,,,98.2%,-116.259978,46.495559,300 Dunlap Road,OROFINO,Orofino,OROFINO JUNIOR-SENIOR HIGH SCHOOL,83544
81.5%,100.0%,,92.6%,18.5%,Seventh Grade,92.6%,96.3%,0.0%,92.6%,81.5%,1,92.6%,171 Orofino,Timberline K/12,Timberline K/12 WEIPPE,2018-2019,ID,81.5%,,,,,,92.6%,-116.016667,46.376006,22869 Hwy 11,WEIPPE,Weippe,TIMBERLINE K-12 SCHOOL,83553
93.3%,93.3%,,100.0%,0.0%,Seventh Grade,100.0%,100.0%,6.7%,100.0%,93.3%,1,100.0%,181 Challis,Challis Jr/Sr High,Challis Jr/Sr High CHALLIS,2018-2019,ID,93.3%,,,,,,100.0%,-114.230314,44.507006,1250 Norse Dr,CHALLIS,Challis,CHALLIS JUNIOR SENIOR HIGH SCHOOL,83226
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,181 Challis,Stanley Elementary/Jr High,Stanley Elementary/Jr High STANLEY,2018-2019,ID,N/A,,,,,,N/A,-114.943198,44.211107,"Airport Rd,",STANLEY,Stanley,STANLEY ELEMENTARY JR HIGH SCHOOL,83278
5.9%,11.8%,,88.2%,5.9%,Seventh Grade,94.1%,76.5%,88.2%,88.2%,5.9%,1,88.2%,182 Mackay,Mackay Jr/Sr High,Mackay Jr/Sr High MACKAY,2018-2019,ID,11.8%,,,,,,88.2%,-113.614583,43.913314,400 E Spruce Street,MACKAY,Mackay,MACKAY JUNIOR SENIOR HIGH SCHOOL,83251
87.5%,100.0%,,96.9%,9.4%,Seventh Grade,100.0%,100.0%,0.0%,100.0%,93.8%,1,100.0%,192 Glenns Ferry,Glenns Ferry Middle,Glenns Ferry Middle GLENNS FERRY,2018-2019,ID,93.8%,,,,,,90.6%,-115.308561,42.959342,639 North Bannock Ave,GLENNS FERRY,Glenns Ferry,GLENNS FERRY MIDDLE SCHOOL,83623
100.0%,100.0%,,100.0%,0.0%,Seventh Grade,100.0%,100.0%,0.0%,100.0%,100.0%,1,100.0%,193 Mountain Home,Mountain Home Jr High,Mountain Home Jr High MOUNTAIN HOME,2018-2019,ID,100.0%,,,,,,100.0%,-115.679952,43.126521,1600 E 6th S,MOUNTAIN HOME,Mountain Home,MOUNTAIN HOME JUNIOR HIGH SCHOOL,83647
87.0%,87.8%,,98.4%,0.8%,Seventh Grade,95.9%,98.4%,12.2%,98.4%,91.1%,1,98.4%,2 West Ada,William Thomas Middle,William Thomas Middle AMERICAN FALLS,2018-2019,ID,92.7%,,,,,,98.4%,-112.848055171,42.786413500,355 bannock ave,AMERICAN FALLS,American Falls,WILLIAM THOMAS MIDDLE SCHOOL,83211
89.6%,99.7%,,97.3%,10.1%,Seventh Grade,94.5%,96.2%,0.3%,97.3%,95.6%,1,97.3%,2 West Ada,Lake Hazel Middle,Lake Hazel Middle BOISE,2018-2019,ID,95.6%,,,,,,93.4%,-116.325024,43.55379,11625 LaGrange,BOISE,Boise,LAKE HAZEL MIDDLE SCHOOL,83709
91.5%,98.5%,,96.4%,6.4%,Seventh Grade,95.1%,96.0%,1.5%,96.0%,94.8%,1,95.7%,2 West Ada,Lowell Scott Middle,Lowell Scott Middle BOISE,2018-2019,ID,94.8%,,,,,,94.5%,-116.352409,43.648439,13600 W McMillan Rd,BOISE,Boise,LOWELL SCOTT MIDDLE SCHOOL,83713
76.7%,100.0%,,86.7%,23.3%,Seventh Grade,86.7%,86.7%,0.0%,86.7%,76.7%,1,86.7%,2 West Ada,Idaho Fine Arts Academy,Idaho Fine Arts Academy EAGLE,2018-2019,ID,76.7%,,,,,,86.7%,-116.396766,43.697871,3467 W. Flint Drive,EAGLE,Eagle,IDAHO FINE ARTS ACADEMY,83616
89.0%,100.0%,,95.9%,11.0%,Seventh Grade,93.2%,95.9%,0.0%,95.9%,93.2%,1,95.9%,2 West Ada,Galileo Stem Academy,Galileo Stem Academy EAGLE,2018-2019,ID,93.2%,,,,,,91.8%,-116.412674,43.700682,4735 W Saguaro,EAGLE,Eagle,GALILEO STEM ACADEMY,83616
93.0%,100.0%,,97.0%,7.0%,Seventh Grade,97.0%,96.7%,0.0%,96.3%,94.7%,1,96.7%,2 West Ada,Eagle Middle,Eagle Middle EAGLE,2018-2019,ID,95.0%,,,,,,95.0%,-116.366394,43.706549,1000 W Floating Feather,EAGLE,Eagle,EAGLE MIDDLE SCHOOL,83616
87.0%,100.0%,,94.4%,13.0%,Seventh Grade,94.4%,94.4%,0.0%,94.4%,90.7%,1,94.4%,2 West Ada,Crossroads Middle,Crossroads Middle MERIDIAN,2018-2019,ID,90.7%,,,,,,90.7%,-116.372054519,43.610776774,650 N Nola Dr,MERIDIAN,Meridian,CROSSROADS MIDDLE SCHOOL,83642
89.1%,97.6%,,97.3%,8.5%,Seventh Grade,95.5%,97.1%,2.4%,96.6%,93.9%,1,96.6%,2 West Ada,Meridian Middle,Meridian Middle MERIDIAN,2018-2019,ID,94.2%,,,,,,94.2%,-116.403738,43.618046,1507 W. 8th Street,MERIDIAN,Meridian,MERIDIAN MIDDLE SCHOOL,83642
91.5%,100.0%,,96.1%,8.5%,Seventh Grade,95.5%,96.1%,0.0%,95.5%,94.3%,1,95.2%,2 West Ada,Victory Middle,Victory Middle MERIDIAN,2018-2019,ID,94.9%,,,,,,93.7%,-116.403699,43.582453,920 W. Kodiak Dr.,MERIDIAN,Meridian,VICTORY MIDDLE SCHOOL,83642
92.9%,99.7%,,98.6%,6.9%,Seventh Grade,96.0%,97.4%,0.3%,98.9%,97.1%,1,98.3%,2 West Ada,Lewis and Clark Middle,Lewis and Clark Middle MERIDIAN,2018-2019,ID,97.1%,,,,,,97.1%,-116.344245,43.612145,4141 E. Pine Ave,MERIDIAN,Meridian,LEWIS AND CLARK MIDDLE SCHOOL,83642
90.3%,98.4%,,95.7%,7.9%,Seventh Grade,95.0%,95.0%,1.6%,95.5%,93.2%,1,96.2%,2 West Ada,Heritage Middle,Heritage Middle MERIDIAN,2018-2019,ID,93.7%,,,,,,93.7%,-116.393456,43.649897,5990 N. Meridian Road,MERIDIAN,Meridian,HERITAGE MIDDLE SCHOOL,83646
88.8%,99.7%,,95.0%,10.9%,Seventh Grade,94.1%,95.3%,0.3%,95.9%,90.5%,1,96.2%,2 West Ada,Sawtooth Middle,Sawtooth Middle MERIDIAN,2018-2019,ID,94.7%,,,,,,93.8%,-116.413643,43.639549,3730 N. Linder Rd.,MERIDIAN,Meridian,SAWTOOTH MIDDLE SCHOOL,83646
87.7%,100.0%,,92.3%,12.3%,Seventh Grade,93.8%,95.4%,0.0%,93.8%,96.9%,1,93.8%,2 West Ada,Pathways Middle,Pathways Middle MERIDIAN,2018-2019,ID,98.5%,,,,,,95.4%,-116.370548,43.640851,1855 East Heritage Park St.,MERIDIAN,Meridian,PATHWAYS MIDDLE SCHOOL,83646
84.1%,86.5%,,96.1%,2.4%,Seventh Grade,95.2%,97.6%,13.5%,96.1%,87.4%,1,95.7%,201 Preston,Preston Jr High,Preston Jr High PRESTON,2018-2019,ID,87.4%,,,,,,95.7%,-111.866358,42.081656,450 E. 800 S.,PRESTON,Preston,PRESTON JR HIGH SCHOOL,83263
69.9%,79.5%,,80.8%,9.6%,Seventh Grade,89.0%,90.4%,20.5%,90.4%,82.2%,1,80.8%,202 West Side,Beutler Middle,Beutler Middle DAYTON,2018-2019,ID,82.2%,,,,,,89.0%,-111.991687,42.107728,626 N West Side Hwy,DAYTON,Dayton,BEUTLER MIDDLE SCHOOL,83232
89.2%,90.8%,,89.2%,1.7%,Seventh Grade,98.3%,98.3%,9.2%,98.3%,90.8%,1,98.3%,21 Marsh Valley,Marsh Valley Middle,Marsh Valley Middle ARIMO,2018-2019,ID,90.8%,,,,,,98.3%,-112.176522,42.566646,12805 S Old Highway 91,ARIMO,Arimo,MARSH VALLEY MIDDLE SCHOOL,83214
92.5%,94.3%,,98.1%,1.9%,Seventh Grade,98.1%,98.1%,5.7%,98.1%,92.5%,1,98.1%,215 Fremont,North Fremont Jr/Sr High,North Fremont Jr/Sr High ASHTON,2018-2019,ID,92.5%,,,,,,98.1%,-111.435599,44.071379,3581 E 1300 N,ASHTON,Ashton,NORTH FREMONT JR_SR HIGH SCHOOL,83420
91.3%,96.5%,,97.4%,3.5%,Seventh Grade,95.7%,97.4%,3.5%,96.5%,93.0%,1,97.4%,215 Fremont,South Fremont Jr High,South Fremont Jr High SAINT ANTHONY,2018-2019,ID,94.8%,,,,,,95.7%,-111.683789394,43.971775769,550 N 1 W,SAINT ANTHONY,Saint Anthony,SOUTH FREMONT JR HIGH SCHOOL,83445
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,221 Emmett,The Patriot Center,The Patriot Center EMMETT,2018-2019,ID,N/A,,,,,,N/A,-116.5035915,43.875627464,330 W. Main Street,EMMETT,Emmett,THE PATRIOT CENTER,83617
87.7%,96.7%,,95.3%,9.0%,Seventh Grade,96.2%,97.2%,3.3%,94.8%,91.0%,1,96.2%,221 Emmett,Emmett Middle,Emmett Middle EMMETT,2018-2019,ID,90.0%,,,,,,92.4%,-116.497021,43.87166,301 E 4th,EMMETT,Emmett,EMMETT MIDDLE SCHOOL,83617
55.1%,61.9%,,94.9%,5.9%,Seventh Grade,91.5%,94.1%,38.1%,95.8%,58.5%,1,94.9%,231 Gooding,Gooding Middle,Gooding Middle GOODING,2018-2019,ID,63.6%,,,,,,92.4%,-114.723651,42.938472,1045 7th Ave. West,GOODING,Gooding,GOODING MIDDLE SCHOOL,83330
66.0%,67.0%,,95.3%,0.9%,Seventh Grade,71.7%,96.2%,33.0%,96.2%,69.8%,1,96.2%,232 Wendell,Wendell Middle,Wendell Middle WENDELL,2018-2019,ID,69.8%,,,,,,67.0%,-114.713175,42.775527,920 E. Main St.,WENDELL,Wendell,WENDELL MIDDLE SCHOOL,83355
85.7%,90.5%,,90.5%,4.8%,Seventh Grade,90.5%,95.2%,9.5%,95.2%,85.7%,1,95.2%,233 Hagerman,Hagerman Jr/Sr High,Hagerman Jr/Sr High HAGERMAN,2018-2019,ID,90.5%,,,,,,95.2%,-114.899441,42.818284,150 Lake Street W.,HAGERMAN,Hagerman,HAGERMAN JR SR HIGH SCHOOL,83332
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,234 Bliss,Bliss,Bliss BLISS,2018-2019,ID,N/A,,,,,,N/A,-114.939891,42.923632,601 E Hwy 30,BLISS,Bliss,BLISS K-8 SCHOOL,83314
85.0%,85.0%,,95.0%,0.0%,Seventh Grade,100.0%,100.0%,15.0%,100.0%,90.0%,1,100.0%,242 Cottonwood,Prairie Jr/Sr High,Prairie Jr/Sr High COTTONWOOD,2018-2019,ID,100.0%,,,,,,75.0%,-116.514411,46.053201,453 Keuterville Rd,COTTONWOOD,Cottonwood,PRAIRIE JUNIOR-SENIOR HIGH SCHOOL,83522
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,243 Salmon River,Salmon River Jr/Sr High,Salmon River Jr/Sr High RIGGINS,2018-2019,ID,N/A,,,,,,N/A,-116.063748,45.329061,711 Ace's Place Rd.,RIGGINS,Riggins,SALMON RIVER JR SR HIGH SCHOOL,83549
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,244 Mountain View,Elk City Public,Elk City Public ELK CITY,2018-2019,ID,N/A,,,,,,N/A,-115.435949,45.827972,100 School Drive,ELK CITY,Elk City,ELK CITY PUBLIC SCHOOL,83525
71.6%,100.0%,,87.8%,27.0%,Seventh Grade,89.2%,90.5%,0.0%,89.2%,73.0%,1,89.2%,244 Mountain View,Grangeville Elementary & Middle,Grangeville Elementary & Middle GRANGEVILLE,2018-2019,ID,73.0%,,,,,,90.5%,-116.123981,45.924464,400 South Idaho Avenue,GRANGEVILLE,Grangeville,GRANGEVILLE ELEMENTARY & MIDDLE SCHOOL,83530
60.7%,100.0%,,85.7%,39.3%,Seventh Grade,78.6%,85.7%,0.0%,85.7%,64.3%,1,85.7%,244 Mountain View,Clearwater Valley Jr/Sr High,Clearwater Valley Jr/Sr High KOOSKIA,2018-2019,ID,60.7%,,,,,,75.0%,-115.976508,46.095401,4638 Hwy 13,KOOSKIA,Kooskia,CLEARWATER VALLEY JR-SR HIGH SCHOOL,83539
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,25 Pocatello,New Horizon Center,New Horizon Center POCATELLO,2018-2019,ID,N/A,,,,,,N/A,-112.469402845,42.891276005,955 W. Alameda Rd,POCATELLO,Pocatello,NEW HORIZON CENTER,83201
91.7%,96.8%,,97.7%,5.1%,Seventh Grade,97.7%,97.7%,3.2%,97.7%,94.9%,1,98.2%,25 Pocatello,Alameda Middle,Alameda Middle POCATELLO,2018-2019,ID,95.4%,,,,,,95.9%,-112.456402,42.890449,845 McKinley,POCATELLO,Pocatello,ALAMEDA MIDDLE SCHOOL,83201
92.6%,100.0%,,97.9%,7.4%,Seventh Grade,97.9%,98.2%,0.0%,98.2%,95.1%,1,97.9%,25 Pocatello,Franklin Middle,Franklin Middle POCATELLO,2018-2019,ID,95.4%,,,,,,96.1%,-112.404948,42.872091,2271 E Terry St,POCATELLO,Pocatello,FRANKLIN MIDDLE SCHOOL,83201
96.1%,100.0%,,96.1%,3.9%,Seventh Grade,96.1%,96.1%,0.0%,96.1%,96.1%,1,96.1%,25 Pocatello,Hawthorne Middle,Hawthorne Middle POCATELLO,2018-2019,ID,96.1%,,,,,,96.1%,-112.471586,42.894944,1025 W Eldredge,POCATELLO,Pocatello,HAWTHORNE MIDDLE SCHOOL,83201
83.3%,88.4%,,96.0%,5.1%,Seventh Grade,92.9%,94.9%,11.6%,96.0%,83.8%,1,96.5%,25 Pocatello,Irving Middle,Irving Middle POCATELLO,2018-2019,ID,84.3%,,,,,,95.5%,-112.461828,42.865687,911 N Grant St,POCATELLO,Pocatello,IRVING MIDDLE SCHOOL,83204
86.3%,94.2%,,95.6%,7.9%,Seventh Grade,95.4%,96.5%,5.8%,95.2%,89.6%,1,95.2%,251 Jefferson,Rigby Middle,Rigby Middle RIGBY,2018-2019,ID,90.0%,,,,,,93.8%,-111.943744,43.668589,290 N 3800 E,RIGBY,Rigby,RIGBY MIDDLE SCHOOL,83442
91.3%,100.0%,,93.5%,8.7%,Seventh Grade,93.5%,95.7%,0.0%,93.5%,91.3%,1,93.5%,252 Ririe,Ririe Middle,Ririe Middle RIRIE,2018-2019,ID,93.5%,,,,,,93.5%,-111.774763,43.628883,260 First W,RIRIE,Ririe,RIRIE MIDDLE SCHOOL,83443
90.7%,94.4%,,94.4%,3.7%,Seventh Grade,98.1%,98.1%,5.6%,96.3%,90.7%,1,96.3%,253 West Jefferson,Terreton Elementary and West Jefferson Middle,Terreton Elementary and West Jefferson Middle TERRETON,2018-2019,ID,92.6%,,,,,,96.3%,-112.44531,43.841315,1252 E 1500 N,TERRETON,Terreton,TERRETON ELEMENTARY AND WEST JEFFERSON MIDDLE SCHOOL,83450
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,261 Jerome,Northside Jr/Sr High,Northside Jr/Sr High JEROME,2018-2019,ID,N/A,,,,,,N/A,-114.5195325,42.727954510,125 4th Ave West,JEROME,Jerome,NORTHSIDE JR SR HIGH SCHOOL,83338
86.0%,89.5%,,95.0%,3.5%,Seventh Grade,95.0%,95.6%,10.5%,95.9%,88.0%,1,95.6%,261 Jerome,Jerome Middle,Jerome Middle JEROME,2018-2019,ID,88.0%,,,,,,94.2%,-114.512984,42.733264,520 10th Avenue West,JEROME,Jerome,JEROME MIDDLE SCHOOL,83338
95.3%,100.0%,,97.7%,2.3%,Seventh Grade,95.3%,97.7%,0.0%,97.7%,97.7%,1,97.7%,262 Valley,Valley,Valley HAZELTON,2018-2019,ID,97.7%,,,,,,97.7%,-114.171079,42.592271,882 Valley Road,HAZELTON,Hazelton,VALLEY SCHOOL,83335
61.5%,74.7%,,91.9%,13.1%,Seventh Grade,87.3%,91.0%,25.3%,98.6%,70.1%,1,91.4%,271 Coeur d'Alene,Lakes Magnet Middle,Lakes Magnet Middle COEUR D'ALENE,2018-2019,ID,73.8%,,,,,,88.7%,-116.764709,47.681744,930 N 15th St,COEUR D'ALENE,Coeur d'Alene,LAKES MAGNET MIDDLE SCHOOL,83814
75.5%,90.6%,,91.3%,15.2%,Seventh Grade,89.2%,91.3%,9.4%,99.3%,81.2%,1,91.0%,271 Coeur d'Alene,Canfield Middle,Canfield Middle COEUR D'ALENE,2018-2019,ID,82.7%,,,,,,87.7%,-116.764973,47.722483,1800 E DALTON AVE,COEUR D'ALENE,Coeur d'Alene,CANFIELD MIDDLE SCHOOL,83815
71.8%,81.3%,,93.3%,9.1%,Seventh Grade,88.0%,92.8%,18.7%,93.8%,78.0%,1,93.3%,272 Lakeland,Lakeland Jr High,Lakeland Jr High RATHDRUM,2018-2019,ID,81.3%,,,,,,92.8%,-116.886124,47.813582,15601 Id-41,RATHDRUM,Rathdrum,LAKELAND JUNIOR HIGH SCHOOL,83858
76.3%,91.6%,,88.5%,15.3%,Seventh Grade,88.5%,90.8%,8.4%,90.1%,80.2%,1,88.5%,272 Lakeland,Timberlake Jr High,Timberlake Jr High SPIRIT LAKE,2018-2019,ID,84.0%,,,,,,90.1%,-116.866698,47.957326,5830 W Blackwell Blvd,SPIRIT LAKE,Spirit Lake,TIMBERLAKE JUNIOR HIGH SCHOOL,83869
70.7%,82.2%,,90.1%,11.5%,Seventh Grade,89.0%,90.6%,17.8%,97.9%,75.4%,1,89.5%,273 Post Falls,River City Middle,River City Middle POST FALLS,2018-2019,ID,77.0%,,,,,,89.0%,-116.909632,47.730347,1505 N. Fir St.,POST FALLS,Post Falls,RIVER CITY MIDDLE SCHOOL,83854
71.1%,80.2%,,94.7%,9.1%,Seventh Grade,91.6%,93.5%,19.8%,97.7%,76.0%,1,92.8%,273 Post Falls,Post Falls Middle,Post Falls Middle POST FALLS,2018-2019,ID,78.7%,,,,,,90.9%,-116.944931,47.723348,301 e. 16th Ave,POST FALLS,Post Falls,POST FALLS MIDDLE SCHOOL,83854
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,274 Kootenai,Kootenai Jr/Sr High,Kootenai Jr/Sr High HARRISON,2018-2019,ID,N/A,,,,,,N/A,-116.672153818,47.400469841,13030 E. O'Gara Road,HARRISON,Harrison,KOOTENAI JR_SR HIGH SCHOOL,83833
60.0%,66.7%,,93.3%,6.7%,Seventh Grade,93.3%,93.3%,33.3%,93.3%,60.0%,1,93.3%,281 Moscow,Moscow Charter,Moscow Charter MOSCOW,2018-2019,ID,60.0%,,,,,,93.3%,-116.978121,46.740251474,1723 East F St.,MOSCOW,Moscow,MOSCOW CHARTER SCHOOL,83843
91.3%,99.5%,,96.4%,8.2%,Seventh Grade,93.8%,95.9%,0.5%,96.4%,95.4%,1,95.9%,281 Moscow,Moscow Middle,Moscow Middle MOSCOW,2018-2019,ID,96.4%,,,,,,94.4%,-116.983178,46.737507,1410 East D Street,MOSCOW,Moscow,MOSCOW MIDDLE SCHOOL,83843
86.4%,100.0%,,90.9%,9.1%,Seventh Grade,90.9%,95.5%,0.0%,95.5%,90.9%,1,95.5%,282 Genesee,Genesee,Genesee GENESEE,2018-2019,ID,90.9%,,,,,,90.9%,-116.921737,46.551607,330 W. Ash Street PO Box 98,GENESEE,Genesee,GENESEE SCHOOLS,83832
92.0%,100.0%,,96.0%,8.0%,Seventh Grade,100.0%,100.0%,0.0%,96.0%,92.0%,1,96.0%,283 Kendrick,Kendrick Jr/Sr High,Kendrick Jr/Sr High KENDRICK,2018-2019,ID,92.0%,,,,,,92.0%,-116.615246,46.683602,2001 HWY 3,KENDRICK,Kendrick,KENDRICK JR SR HIGH SCHOOL,83537
93.9%,100.0%,,97.0%,6.1%,Seventh Grade,97.0%,97.0%,0.0%,97.0%,93.9%,1,97.0%,285 Potlatch,Potlatch Jr/Sr High,Potlatch Jr/Sr High POTLATCH,2018-2019,ID,93.9%,,,,,,97.0%,-116.902208,46.921674,130 6th St,POTLATCH,Potlatch,POTLATCH JUNIOR SENIOR HIGH,83855
73.9%,87.0%,,95.7%,13.0%,Seventh Grade,82.6%,95.7%,13.0%,95.7%,91.3%,1,95.7%,287 Troy,Troy Jr/Sr High,Troy Jr/Sr High TROY,2018-2019,ID,95.7%,,,,,,91.3%,-116.766986,46.741483,101 Trojan Drive,TROY,Troy,TROY JR SR HIGH SCHOOL,83871
77.3%,90.9%,,95.5%,13.6%,Seventh Grade,95.5%,95.5%,9.1%,95.5%,77.3%,1,95.5%,288 Whitepine,Deary,Deary DEARY,2018-2019,ID,77.3%,,,,,,95.5%,-116.557515,46.798274,502 First Ave,DEARY,Deary,DEARY SCHOOL,83823
91.7%,96.7%,,95.0%,5.0%,Seventh Grade,95.0%,95.0%,3.3%,95.0%,91.7%,1,95.0%,291 Salmon,Salmon Jr/Sr High,Salmon Jr/Sr High SALMON,2018-2019,ID,91.7%,,,,,,95.0%,-113.890687063,45.171198249,900 Sharkey St,SALMON,Salmon,SALMON JR SR HIGH SCHOOL,83467
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,292 South Lemhi,Leadore,Leadore LEADORE,2018-2019,ID,N/A,,,,,,N/A,-113.36211,44.679028,111 S 3rd St,LEADORE,Leadore,LEADORE SCHOOL,83464
